# RA = 11 04 27.31 (166.1138)
# Dec = +38 12 31.79 (38.20883)
# Redshift = 0.0
# nH = 1.92E20 cm^-2 
# BeppoSAX Spectra (Giommi et al. 2002) (id = 40)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.7750E27     0.0000E00    3.8457E-11   1.4566E-11    54466.0    54647.0
# TIBET_2013ApJ_598_242A (id = 38)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.1350E26     0.0000E00    1.7381E-10   7.0742E-11    51544.0    52274.0
6.5070E26     0.0000E00    7.9359E-11   3.5155E-11    51544.0    52274.0
1.0880E27     0.0000E00    5.2189E-11   2.2269E-11    51544.0    52274.0
# TACTIC_2015NIMPA_770_42S (id = 37)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E26     0.0000E00    4.4781E-11   5.1270E-12    53711.0    53855.0
3.3850E26     0.0000E00    3.3350E-11   1.7900E-12    53711.0    53855.0
5.3200E26     0.0000E00    2.2496E-11   1.1632E-12    53711.0    53855.0
7.9790E26     0.0000E00    1.4304E-11   9.5962E-13    53711.0    53855.0
1.1850E27     0.0000E00    9.2939E-12   8.4630E-13    53711.0    53855.0
1.7890E27     0.0000E00    4.0499E-12   7.2820E-13    53711.0    53855.0
2.6600E27     0.0000E00    1.9561E-12   6.5332E-13    53711.0    53855.0
# TACTIC_2012JPhG_39d5201C (id = 36)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E26     0.0000E00    2.8038E-11   1.0863E-11    55157.0    55332.0
3.6270E26     0.0000E00    1.9647E-11   4.0014E-12    55157.0    55332.0
5.3680E26     0.0000E00    1.6977E-11   2.4873E-12    55157.0    55332.0
8.0280E26     0.0000E00    1.3174E-11   2.7196E-12    55157.0    55332.0
1.1970E27     0.0000E00    1.5271E-11   3.1327E-12    55157.0    55332.0
1.7840E27     0.0000E00    1.6143E-11   3.7610E-12    55157.0    55332.0
2.6600E27     0.0000E00    9.9064E-12   5.0211E-12    55157.0    55332.0
# TACTIC_2010JPhG_37l5201C (id = 35)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E26     0.0000E00    1.5076E-10   5.2551E-11    54476.0    54593.0
3.5300E26     0.0000E00    7.7184E-11   1.1987E-11    54476.0    54593.0
5.1500E26     0.0000E00    3.3510E-11   5.1318E-12    54476.0    54593.0
7.5440E26     0.0000E00    2.3394E-11   4.3046E-12    54476.0    54593.0
1.1050E27     0.0000E00    1.5827E-11   4.0823E-12    54476.0    54593.0
1.6150E27     0.0000E00    1.1224E-11   4.0179E-12    54476.0    54593.0
# HESS_2005A&A_437_95A (id = 34)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.7130E26     0.0000E00    1.3090E-10   7.0192E-12    53107.8    53114.9
3.4150E26     0.0000E00    1.2084E-10   3.8042E-12    53107.8    53114.9
4.3000E26     0.0000E00    9.7277E-11   2.8930E-12    53107.8    53114.9
5.4130E26     0.0000E00    8.2708E-11   2.6980E-12    53107.8    53114.9
6.8150E26     0.0000E00    7.7123E-11   2.7744E-12    53107.8    53114.9
8.5790E26     0.0000E00    5.8090E-11   2.5414E-12    53107.8    53114.9
1.0800E27     0.0000E00    4.0919E-11   2.3400E-12    53107.8    53114.9
1.3600E27     0.0000E00    3.2324E-11   2.1989E-12    53107.8    53114.9
1.7120E27     0.0000E00    1.7907E-11   1.8870E-12    53107.8    53114.9
2.1550E27     0.0000E00    8.6286E-12   1.5017E-12    53107.8    53114.9
2.7130E27     0.0000E00    5.1031E-12   1.2909E-12    53107.8    53114.9
3.4150E27     0.0000E00    2.3848E-12   9.8141E-13    53107.8    53114.9
4.2160E27     0.0000E00    2.6888E-13   1.8656E-13    53107.8    53114.9
# ARGO_YBJ_2011ApJ_734_110B (id = 33)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0810E26     0.0000E00    3.7455E-11   2.4362E-11    54405.0    55255.0
1.7120E26     0.0000E00    7.6938E-11   1.7909E-11    54405.0    55255.0
2.7080E26     0.0000E00    5.7680E-11   1.2822E-11    54405.0    55255.0
5.4160E26     0.0000E00    2.2751E-11   1.1978E-11    54405.0    55255.0
8.5840E25     0.0000E00    8.2583E-11   4.8459E-11    54405.0    55255.0
1.7120E26     0.0000E00    1.3492E-10   3.1562E-11    54405.0    55255.0
2.7080E26     0.0000E00    9.1444E-11   2.2710E-11    54405.0    55255.0
5.4160E26     0.0000E00    3.3523E-11   2.1143E-11    54405.0    55255.0
1.3590E26     0.0000E00    9.5135E-11   5.9206E-11    54405.0    55255.0
2.1540E26     0.0000E00    1.2541E-10   4.4009E-11    54405.0    55255.0
3.4090E26     0.0000E00    2.2584E-10   3.2490E-11    54405.0    55255.0
6.8190E26     0.0000E00    9.5176E-11   2.9942E-11    54405.0    55255.0
1.7120E27     0.0000E00    9.7177E-11   7.8866E-11    54405.0    55255.0
2.7080E26     0.0000E00    3.0347E-10   9.5263E-11    54405.0    55255.0
3.4090E26     0.0000E00    2.9814E-10   6.9439E-11    54405.0    55255.0
6.8190E26     0.0000E00    2.1660E-10   6.4470E-11    54405.0    55255.0
1.3590E27     0.0000E00    3.3348E-10   1.0222E-10    54405.0    55255.0
1.7120E27     0.0000E00    1.9516E-10   1.6464E-10    54405.0    55255.0
# MAGIC (id = 31)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.4500E26     0.0000E00    2.8800E-11   1.3600E-11    53900.91979    53900.95532
2.2000E26     0.0000E00    4.0700E-11   1.2700E-11    53900.91979    53900.95532
2.0100E26     0.0000E00    2.5800E-11   1.0700E-11    53900.91979    53900.95532
1.3500E26     0.0000E00    4.4200E-11   1.1900E-11    53900.91979    53900.95532
5.2100E26     0.0000E00    1.6200E-10   5.2900E-11    53855.97283    53855.97906
2.2800E26     0.0000E00    1.6200E-10   3.3600E-11    53855.97283    53855.97906
9.9400E25     0.0000E00    7.8000E-11   1.7500E-11    53855.97283    53855.97906
6.8600E26     0.0000E00    3.3300E-11   1.3000E-11    53854.89514    53855.04119
4.4300E26     0.0000E00    3.7000E-11   8.4900E-12    53854.89514    53855.04119
2.8600E26     0.0000E00    5.3400E-11   7.2100E-12    53854.89514    53855.04119
1.8500E26     0.0000E00    5.2700E-11   6.2500E-12    53854.89514    53855.04119
1.1900E26     0.0000E00    5.1900E-11   5.1300E-12    53854.89514    53855.04119
7.7000E25     0.0000E00    5.4000E-11   5.1300E-12    53854.89514    53855.04119
7.1200E26     0.0000E00    3.3000E-11   1.2700E-11    53853.88173    53854.01394
3.9200E26     0.0000E00    4.7400E-11   9.1300E-12    53853.88173    53854.01394
2.1600E26     0.0000E00    4.8200E-11   6.2500E-12    53853.88173    53854.01394
1.1900E26     0.0000E00    6.2800E-11   5.4500E-12    53853.88173    53854.01394
1.0300E27     0.0000E00    1.1000E-10   4.4200E-11    53852.93474    53853.00047
6.5700E26     0.0000E00    1.6500E-10   4.1700E-11    53852.93474    53853.00047
4.1900E26     0.0000E00    1.8700E-10   2.7200E-11    53852.93474    53853.00047
2.6700E26     0.0000E00    1.7500E-10   1.9200E-11    53852.93474    53853.00047
1.7000E26     0.0000E00    1.7100E-10   1.4400E-11    53852.93474    53853.00047
1.0900E26     0.0000E00    1.4100E-10   1.0600E-11    53852.93474    53853.00047
4.8700E26     0.0000E00    3.8100E-11   1.2000E-11    53851.92862    53852.00383
2.9800E26     0.0000E00    4.6500E-11   1.0400E-11    53851.92862    53852.00383
1.8200E26     0.0000E00    5.5400E-11   7.8500E-12    53851.92862    53852.00383
1.1100E26     0.0000E00    5.4600E-11   6.5700E-12    53851.92862    53852.00383
6.1900E26     0.0000E00    6.1700E-11   2.1000E-11    53850.92813    53850.99607
3.7200E26     0.0000E00    5.5600E-11   1.3900E-11    53850.92813    53850.99607
2.2300E26     0.0000E00    6.1800E-11   9.9300E-12    53850.92813    53850.99607
1.3400E26     0.0000E00    6.3300E-11   7.6900E-12    53850.92813    53850.99607
8.0500E25     0.0000E00    6.9900E-11   6.8900E-12    53850.92813    53850.99607
7.6100E26     0.0000E00    7.6900E-11   2.7900E-11    53849.96428    53850.00669
4.3700E26     0.0000E00    1.0500E-10   2.1300E-11    53849.96428    53850.00669
2.5100E26     0.0000E00    9.8100E-11   1.3800E-11    53849.96428    53850.00669
1.4400E26     0.0000E00    1.2300E-10   1.2200E-11    53849.96428    53850.00669
8.2800E25     0.0000E00    1.1200E-10   1.0300E-11    53849.96428    53850.00669
4.3400E26     0.0000E00    4.0200E-11   1.4900E-11    53847.97679    53848.0146
2.7400E26     0.0000E00    5.2700E-11   1.2700E-11    53847.97679    53848.0146
1.7300E26     0.0000E00    5.8800E-11   1.2000E-11    53847.97679    53848.0146
1.0900E26     0.0000E00    3.8300E-11   8.9700E-12    53847.97679    53848.0146
1.0700E27     0.0000E00    1.7100E-11   1.1800E-11    54473.08194444    54473.6138889
6.2400E26     0.0000E00    1.9900E-11   7.5900E-12    54473.08194444    54473.6138889
3.6300E26     0.0000E00    2.2200E-11   6.4600E-12    54473.08194444    54473.6138889
2.1100E26     0.0000E00    4.8100E-11   1.0600E-11    54473.08194444    54473.6138889
1.2300E26     0.0000E00    6.3900E-11   1.2900E-11    54473.08194444    54473.6138889
7.1300E25     0.0000E00    9.0800E-11   1.7800E-11    54473.08194444    54473.6138889
4.1300E25     0.0000E00    1.1300E-10   2.8000E-11    54473.08194444    54473.6138889
7.0800E26     0.0000E00    4.2100E-11   2.3200E-11    54560.91319444    54560.930555
4.5700E26     0.0000E00    5.8500E-11   2.0900E-11    54560.91319444    54560.930555
2.9400E26     0.0000E00    6.2900E-11   1.8700E-11    54560.91319444    54560.930555
1.9000E26     0.0000E00    6.2100E-11   1.6300E-11    54560.91319444    54560.930555
1.2200E26     0.0000E00    8.3900E-11   1.9900E-11    54560.91319444    54560.930555
7.9000E25     0.0000E00    1.0600E-10   2.2900E-11    54560.91319444    54560.930555
5.0800E25     0.0000E00    1.0200E-10   2.3900E-11    54560.91319444    54560.930555
6.4400E26     0.0000E00    1.6300E-11   1.3100E-11    54558.03125    54558.041667
3.3300E26     0.0000E00    3.0100E-11   9.5300E-12    54558.03125    54558.041667
1.7300E26     0.0000E00    4.9600E-11   1.0200E-11    54558.03125    54558.041667
8.9500E25     0.0000E00    6.2900E-11   1.0500E-11    54558.03125    54558.041667
4.6200E25     0.0000E00    6.9400E-11   1.5100E-11    54558.03125    54558.041667
1.7000E27     0.0000E00    7.9500E-11   2.0000E-11    54556.165277    54556.165277
1.1000E27     0.0000E00    1.1500E-10   1.6800E-11    54556.165277    54556.165277
7.1000E26     0.0000E00    1.5200E-10   1.8300E-11    54556.165277    54556.165277
4.5900E26     0.0000E00    1.7300E-10   1.7000E-11    54556.165277    54556.165277
2.9700E26     0.0000E00    2.1800E-10   1.8300E-11    54556.165277    54556.165277
1.9200E26     0.0000E00    2.3400E-10   1.8600E-11    54556.165277    54556.165277
1.2600E26     0.0000E00    2.1600E-10   1.7600E-11    54556.165277    54556.165277
7.5900E25     0.0000E00    2.2300E-10   1.8300E-11    54556.165277    54556.165277
5.0300E25     0.0000E00    2.5200E-10   2.2600E-11    54556.165277    54556.165277
3.2600E25     0.0000E00    2.1800E-10   2.6900E-11    54556.165277    54556.165277
7.2400E26     0.0000E00    3.3900E-11   2.9600E-11    54507.147916    54507.165278
4.5900E26     0.0000E00    7.1600E-11   2.0000E-11    54507.147916    54507.165278
2.9500E26     0.0000E00    1.0500E-10   2.0000E-11    54507.147916    54507.165278
1.9100E26     0.0000E00    1.2600E-10   1.8600E-11    54507.147916    54507.165278
1.2400E26     0.0000E00    1.5200E-10   1.7300E-11    54507.147916    54507.165278
8.0800E25     0.0000E00    1.6500E-10   1.7300E-11    54507.147916    54507.165278
5.4700E25     0.0000E00    1.7200E-10   2.5600E-11    54507.147916    54507.165278
3.2500E25     0.0000E00    9.1400E-11   3.3200E-11    54507.147916    54507.165278
7.0400E26     0.0000E00    1.1900E-11   6.0500E-12    54482.143055    54482.1840277
4.5500E26     0.0000E00    2.4400E-11   6.5700E-12    54482.143055    54482.1840277
2.9400E26     0.0000E00    5.0700E-11   9.4100E-12    54482.143055    54482.1840277
1.9000E26     0.0000E00    8.7200E-11   1.3600E-11    54482.143055    54482.1840277
1.2300E26     0.0000E00    1.1100E-10   1.5900E-11    54482.143055    54482.1840277
7.9700E25     0.0000E00    1.2100E-10   1.8500E-11    54482.143055    54482.1840277
5.2000E25     0.0000E00    1.3100E-10   2.5600E-11    54482.143055    54482.1840277
3.4500E25     0.0000E00    1.3600E-10   3.3200E-11    54482.143055    54482.1840277
1.0900E27     0.0000E00    2.2500E-11   6.5700E-12    54481.13681    54481.21597
7.0700E26     0.0000E00    3.6600E-11   6.0500E-12    54481.13681    54481.21597
4.5600E26     0.0000E00    5.6600E-11   6.8400E-12    54481.13681    54481.21597
2.9500E26     0.0000E00    8.1900E-11   8.3100E-12    54481.13681    54481.21597
1.9000E26     0.0000E00    1.0600E-10   9.5300E-12    54481.13681    54481.21597
1.2300E26     0.0000E00    1.2400E-10   1.0700E-11    54481.13681    54481.21597
7.9700E25     0.0000E00    1.3500E-10   1.1500E-11    54481.13681    54481.21597
5.1800E25     0.0000E00    1.5300E-10   1.3400E-11    54481.13681    54481.21597
3.0900E25     0.0000E00    1.7100E-10   1.4500E-11    54481.13681    54481.21597
1.0600E27     0.0000E00    1.1800E-11   9.4200E-12    54475.0993    54475.26319
6.2000E26     0.0000E00    1.7100E-11   7.0100E-12    54475.0993    54475.26319
3.6200E26     0.0000E00    2.6800E-11   7.2600E-12    54475.0993    54475.26319
2.1200E26     0.0000E00    4.4500E-11   9.1700E-12    54475.0993    54475.26319
1.2400E26     0.0000E00    8.9200E-11   1.5700E-11    54475.0993    54475.26319
7.2700E25     0.0000E00    1.0900E-10   2.0000E-11    54475.0993    54475.26319
4.3400E25     0.0000E00    1.1100E-10   2.5000E-11    54475.0993    54475.26319
2.3300E25     0.0000E00    1.1700E-10   3.3800E-11    54475.0993    54475.26319
1.0700E27     0.0000E00    1.1200E-11   5.7800E-12    54474.16389    54474.26319
6.2200E26     0.0000E00    1.5700E-11   4.2000E-12    54474.16389    54474.26319
3.6300E26     0.0000E00    2.2800E-11   4.5300E-12    54474.16389    54474.26319
2.1200E26     0.0000E00    4.2900E-11   6.7200E-12    54474.16389    54474.26319
1.2300E26     0.0000E00    6.3400E-11   8.6900E-12    54474.16389    54474.26319
7.2100E25     0.0000E00    9.9200E-11   1.3600E-11    54474.16389    54474.26319
4.2100E25     0.0000E00    1.1500E-10   1.6300E-11    54474.16389    54474.26319
2.4700E25     0.0000E00    1.1900E-10   2.9100E-11    54474.16389    54474.26319
6.8910E26     0.0000E00    3.7638E-12   1.5682E-12    53325.0    53470.0
4.4520E26     0.0000E00    1.2326E-11   1.4726E-12    53325.0    53470.0
2.8760E26     0.0000E00    2.1627E-12   1.6163E-12    53325.0    53470.0
1.8580E26     0.0000E00    3.4483E-11   1.8049E-12    53325.0    53470.0
1.2020E26     0.0000E00    5.2450E-11   1.9868E-12    53325.0    53470.0
7.7450E25     0.0000E00    6.2240E-11   2.4764E-12    53325.0    53470.0
5.0190E25     0.0000E00    8.3874E-11   2.7727E-12    53325.0    53470.0
3.2330E25     0.0000E00    1.0702E-10   9.7815E-12    53325.0    53470.0
# MAGIC (id = 32)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0690E27 0.0 3.4572E-12   0.0000E00    53325.0    53470.0 ; UPPER LIMIT
# ARGO2LAC (id = 30)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4180E26     0.0000E00    8.4300E-12   7.4900E-13    54405.0    56323.0
# XMM3DR5 (4.5-12 keV) (id = 29)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.7770E18     0.0000E00    4.7583E-11   1.9550E-13    52609.958426    52610.778715
1.7770E18     0.0000E00    1.3614E-10   2.9358E-13    52592.01941    52592.828148
1.7770E18     0.0000E00    3.3897E-11   1.8276E-13    52592.01941    52592.828148
1.7770E18     0.0000E00    6.4962E-11   2.9361E-13    54792.608796    54792.714919
1.7770E18     0.0000E00    1.9930E-10   6.8050E-13    55151.754977    55151.849525
1.7770E18     0.0000E00    6.1853E-11   3.5296E-13    52610.833588    52610.943426
1.7770E18     0.0000E00    4.2589E-11   3.0154E-13    54228.33772    54228.597118
1.7770E18     0.0000E00    2.9367E-11   2.3586E-13    55698.443947    55698.555856
1.7770E18     0.0000E00    4.2469E-11   2.1646E-13    51849.997523    51850.428669
1.7770E18     0.0000E00    5.7314E-11   7.8365E-13    52792.060475    52792.271771
1.7770E18     0.0000E00    2.8468E-11   2.5013E-13    52797.913194    52798.462269
1.7770E18     0.0000E00    1.1821E-10   3.3722E-13    52037.386169    52037.830706
1.7770E18     0.0000E00    1.6099E-10   2.8093E-13    53683.76316    53684.455394
1.7770E18     0.0000E00    1.4512E-10   3.3638E-13    51861.922998    51862.4664
1.7770E18     0.0000E00    2.9231E-11   2.7379E-13    54230.671736    54230.753611
1.7770E18     0.0000E00    1.0671E-10   4.6793E-13    52983.891759    52984.190926
1.7770E18     0.0000E00    5.3744E-11   3.9355E-13    52791.557164    52792.0264
1.7770E18     0.0000E00    2.0232E-10   8.8018E-13    51689.181053    51689.389387
1.7770E18     0.0000E00    1.1670E-10   6.4284E-13    52592.874132    52592.984028
1.7770E18     0.0000E00    1.7490E-10   7.9618E-13    52957.677037    52958.240324
1.7770E18     0.0000E00    3.6254E-10   5.7307E-13    53883.089375    53883.888866
1.7770E18     0.0000E00    1.1674E-11   9.7581E-14    52399.188877    52399.386319
1.7770E18     0.0000E00    3.9710E-11   3.5709E-13    54228.613171    54228.839537
1.7770E18     0.0000E00    1.7054E-10   6.6800E-13    55319.325428    55319.408403
1.7770E18     0.0000E00    5.5149E-11   5.5020E-13    52592.874132    52592.984028
1.7770E18     0.0000E00    2.6804E-11   2.6048E-13    54230.412477    54230.494282
1.7770E18     0.0000E00    3.1295E-11   2.7006E-13    54230.542095    54230.623981
1.7770E18     0.0000E00    2.4366E-11   1.8666E-13    54230.167095    54230.364769
1.7770E18     0.0000E00    2.3874E-11   1.1706E-13    52398.701273    52399.127234
1.7770E18     0.0000E00    9.6878E-11   3.8447E-13    55512.889074    55512.98478
1.7770E18     0.0000E00    4.6294E-11   2.4161E-13    54976.171331    54976.277454
1.7770E18     0.0000E00    1.4297E-11   2.2785E-13    55893.978785    55894.11434
1.7770E18     0.0000E00    3.4381E-10   6.3962E-13    53131.110336    53131.822512
1.7770E18     0.0000E00    5.1891E-11   2.7935E-13    55514.884433    55514.980139
1.7770E18     0.0000E00    2.3682E-10   8.5078E-13    54617.109086    54617.209711
1.7770E18     0.0000E00    1.7090E-10   6.6506E-13    52593.032708    52593.142697
1.7770E18     0.0000E00    8.8693E-11   4.5204E-13    52611.001539    52611.111296
1.7770E18     0.0000E00    3.3567E-11   5.1889E-13    55151.754977    55151.849525
1.7770E18     0.0000E00    1.9838E-12   7.3116E-13    52792.060475    52792.271771
# XMM3DR5 (2-4.5 keV) (id = 28)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.2540E17     0.0000E00    6.1897E-11   9.9997E-14    52609.958426    52610.778715
7.2540E17     0.0000E00    1.4465E-10   8.7790E-14    52592.01941    52592.828148
7.2540E17     0.0000E00    2.9648E-11   8.0359E-14    52592.01941    52592.828148
7.2540E17     0.0000E00    1.0754E-10   2.0937E-13    54792.608796    54792.714919
7.2540E17     0.0000E00    2.0911E-10   4.0022E-13    55151.754977    55151.849525
7.2540E17     0.0000E00    8.0258E-11   2.3699E-13    52610.833588    52610.943426
7.2540E17     0.0000E00    7.3070E-11   1.9646E-13    54228.33772    54228.597118
7.2540E17     0.0000E00    5.7301E-11   1.7607E-13    55698.443947    55698.555856
7.2540E17     0.0000E00    6.0643E-11   1.2296E-13    51849.997523    51850.428669
7.2540E17     0.0000E00    9.2706E-11   4.6453E-13    52792.060475    52792.271771
7.2540E17     0.0000E00    4.8875E-11   1.5424E-13    52797.913194    52798.462269
7.2540E17     0.0000E00    1.4265E-10   1.3520E-13    52037.386169    52037.830706
7.2540E17     0.0000E00    2.0778E-10   4.3123E-15    53683.76316    53684.455394
7.2540E17     0.0000E00    1.7907E-10   1.6972E-13    51861.922998    51862.4664
7.2540E17     0.0000E00    5.1760E-11   2.2218E-13    54230.671736    54230.753611
7.2540E17     0.0000E00    1.3098E-10   2.6748E-13    52983.891759    52984.190926
7.2540E17     0.0000E00    8.4889E-11   2.5116E-13    52791.557164    52792.0264
7.2540E17     0.0000E00    2.1863E-10   4.7268E-13    51689.181053    51689.389387
7.2540E17     0.0000E00    1.3834E-10   3.5790E-13    52592.874132    52592.984028
7.2540E17     0.0000E00    2.2195E-10   2.0013E-13    52957.677037    52958.240324
7.2540E17     0.0000E00    3.2549E-10   7.1888E-14    53883.089375    53883.888866
7.2540E17     0.0000E00    2.3849E-11   7.4302E-14    52399.188877    52399.386319
7.2540E17     0.0000E00    6.9072E-11   2.2836E-13    54228.613171    54228.839537
7.2540E17     0.0000E00    1.8765E-10   3.8896E-13    55319.325428    55319.408403
7.2540E17     0.0000E00    4.4663E-11   3.8616E-13    52592.874132    52592.984028
7.2540E17     0.0000E00    4.9446E-11   1.9361E-13    54230.412477    54230.494282
7.2540E17     0.0000E00    5.3833E-11   2.0392E-13    54230.542095    54230.623981
7.2540E17     0.0000E00    4.4415E-11   1.5829E-13    54230.167095    54230.364769
7.2540E17     0.0000E00    4.4432E-11   1.0046E-13    52398.701273    52399.127234
7.2540E17     0.0000E00    1.2706E-10   2.3761E-13    55512.889074    55512.98478
7.2540E17     0.0000E00    8.5564E-11   1.8507E-13    54976.171331    54976.277454
7.2540E17     0.0000E00    2.7299E-11   1.5411E-13    55893.978785    55894.11434
7.2540E17     0.0000E00    2.8895E-10   8.7649E-14    53131.110336    53131.822512
7.2540E17     0.0000E00    8.4253E-11   1.9725E-13    55514.884433    55514.980139
7.2540E17     0.0000E00    3.0435E-10   6.3174E-13    54617.109086    54617.209711
7.2540E17     0.0000E00    1.7096E-10   3.4997E-13    52593.032708    52593.142697
7.2540E17     0.0000E00    1.0317E-10   2.7261E-13    52611.001539    52611.111296
7.2540E17     0.0000E00    4.5108E-11   3.6365E-13    55151.754977    55151.849525
7.2540E17     0.0000E00    5.7975E-13   2.8041E-13    52792.060475    52792.271771
# XMM3DR5 (1-2 keV) (id = 27)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.3850E17     0.0000E00    7.4311E-11   7.0872E-14    52609.958426    52610.778715
3.3850E17     0.0000E00    1.5448E-10   3.0622E-14    52592.01941    52592.828148
3.3850E17     0.0000E00    9.4575E-12   1.3066E-14    52592.01941    52592.828148
3.3850E17     0.0000E00    1.4939E-10   1.7163E-13    54792.608796    54792.714919
3.3850E17     0.0000E00    2.2171E-10   2.3546E-13    55151.754977    55151.849525
3.3850E17     0.0000E00    9.2001E-11   1.5601E-13    52610.833588    52610.943426
3.3850E17     0.0000E00    1.0823E-10   1.5621E-13    54228.33772    54228.597118
3.3850E17     0.0000E00    8.7827E-11   1.5067E-13    55698.443947    55698.555856
3.3850E17     0.0000E00    8.1005E-11   9.5195E-14    51849.997523    51850.428669
3.3850E17     0.0000E00    1.3975E-10   4.0841E-13    52792.060475    52792.271771
3.3850E17     0.0000E00    8.1610E-11   1.4814E-13    52797.913194    52798.462269
3.3850E17     0.0000E00    1.6477E-10   1.8868E-14    52037.386169    52037.830706
3.3850E17     0.0000E00    2.6545E-10   2.6830E-14    53683.76316    53684.455394
3.3850E17     0.0000E00    2.0644E-10   2.0117E-15    51861.922998    51862.4664
3.3850E17     0.0000E00    6.7241E-11   1.6386E-13    54230.671736    54230.753611
3.3850E17     0.0000E00    1.5835E-10   1.7152E-13    52983.891759    52984.190926
3.3850E17     0.0000E00    1.2031E-10   1.6211E-13    52791.557164    52792.0264
3.3850E17     0.0000E00    2.3730E-10   2.4661E-13    51689.181053    51689.389387
3.3850E17     0.0000E00    1.5289E-10   2.5062E-13    52592.874132    52592.984028
3.3850E17     0.0000E00    2.5577E-10   8.4460E-14    52957.677037    52958.240324
3.3850E17     0.0000E00    3.1544E-10   9.0396E-15    53883.089375    53883.888866
3.3850E17     0.0000E00    3.6562E-11   6.4363E-14    52399.188877    52399.386319
3.3850E17     0.0000E00    1.0377E-10   1.5486E-13    54228.613171    54228.839537
3.3850E17     0.0000E00    2.1645E-10   3.2017E-13    55319.325428    55319.408403
3.3850E17     0.0000E00    1.1473E-11   1.9263E-13    52592.874132    52592.984028
3.3850E17     0.0000E00    6.5893E-11   1.5082E-13    54230.412477    54230.494282
3.3850E17     0.0000E00    6.8152E-11   1.6433E-13    54230.542095    54230.623981
3.3850E17     0.0000E00    6.2768E-11   1.0322E-13    54230.167095    54230.364769
3.3850E17     0.0000E00    5.9420E-11   7.2929E-14    52398.701273    52399.127234
3.3850E17     0.0000E00    1.4423E-10   1.6690E-13    55512.889074    55512.98478
3.3850E17     0.0000E00    1.2970E-10   1.6984E-13    54976.171331    54976.277454
3.3850E17     0.0000E00    5.0613E-11   1.4916E-13    55893.978785    55894.11434
3.3850E17     0.0000E00    2.8512E-10   2.8304E-15    53131.110336    53131.822512
3.3850E17     0.0000E00    1.0704E-10   1.3441E-13    55514.884433    55514.980139
3.3850E17     0.0000E00    3.8237E-10   3.3827E-13    54617.109086    54617.209711
3.3850E17     0.0000E00    1.5715E-10   2.2264E-13    52593.032708    52593.142697
3.3850E17     0.0000E00    1.0285E-10   1.8773E-13    52611.001539    52611.111296
3.3850E17     0.0000E00    3.9546E-11   2.6743E-13    55151.754977    55151.849525
3.3850E17     0.0000E00    4.7860E-12   3.5313E-13    52792.060475    52792.271771
# XMM3DR5 (0.5-1 keV) (id = 26)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.6930E17     0.0000E00    7.3705E-11   1.0524E-13    52609.958426    52610.778715
1.6930E17     0.0000E00    1.5444E-10   1.2429E-14    52592.01941    52592.828148
1.6930E17     0.0000E00    2.8053E-12   1.8832E-14    52592.01941    52592.828148
1.6930E17     0.0000E00    1.4674E-10   1.5783E-13    54792.608796    54792.714919
1.6930E17     0.0000E00    1.9361E-10   2.7769E-13    55151.754977    55151.849525
1.6930E17     0.0000E00    8.8594E-11   1.6151E-13    52610.833588    52610.943426
1.6930E17     0.0000E00    1.2116E-10   1.8166E-13    54228.33772    54228.597118
1.6930E17     0.0000E00    9.9838E-11   1.5666E-13    55698.443947    55698.555856
1.6930E17     0.0000E00    8.9873E-11   1.2220E-13    51849.997523    51850.428669
1.6930E17     0.0000E00    1.6151E-10   5.1310E-13    52792.060475    52792.271771
